Source Page,Source Row,Barangay,Flood Susceptibility,Likelihood of Occurrence Score,Flood Depth,Barangay Population,Number of HH,Barangay Residential Area,Residential Population Density,Affected Residential Area,Affected HH,Affected Population,Exposure Percentage,Exposure Score,Informal Settlers (IS) — No. of Exposed HH,Informal Settlers (IS) — Percentage,Informal Settlers (IS) — Sensitivity Score,Light/Salvageable-Material Dwellings — No. of Exposed HH,Light/Salvageable-Material Dwellings — Percentage,Light/Salvageable-Material Dwellings — Sensitivity Score,Young and Old Dependents — No. of Exposed Individuals,Young and Old Dependents — Percentage,Young and Old Dependents — Sensitivity Score,Persons with Disabilities — No. of Exposed Individuals,Persons with Disabilities — Percentage,Persons with Disabilities — Sensitivity Score,Below Poverty Threshold — No. of Exposed HH,Below Poverty Threshold — Percentage,Below Poverty Threshold — Sensitivity Score,Malnourished Individuals — No. of Exposed Individuals,Malnourished Individuals — Percentage,Malnourished Individuals — Sensitivity Score,Access to Infrastructure-Related Mitigation Measures — Proportion,Access to Infrastructure-Related Mitigation Measures — Adaptive Capacity Score,Access to Financial Assistance — Proportion,Access to Financial Assistance — Adaptive Capacity Score,Capacity/Willingness to Retrofit or Relocate — Proportion,Capacity/Willingness to Retrofit or Relocate — Adaptive Capacity Score,Access to Information — Proportion,Access to Information — Adaptive Capacity Score,Government Investments — Capacity,Government Investments — Adaptive Capacity Score,Vulnerability Score,Severity of Consequence Score,Risk Score,Risk Category,Level of Risk,Level of Land Use Control
1,1,AMANDAYEHAN,Moderate,4,≥1m,1081,196,8.86,122,0.575,20,115,10.64%,3,0,0.00%,1,5,0.49%,1,20,1.96%,1,2,0.20%,1,1,0.10%,1,0,0.00%,1,30.00%,1,0.00%,4,20.00%,1,100.00%,1,high,1,1.30,2.15,8.60,moderate,tolerable,discretionary
1,2,AMANDAYEHAN,High,5,≥1m,1081,196,8.86,122,3.489,137,719,66.51%,4,0,0.00%,1,34,3.15%,1,198,18.32%,3,6,0.56%,1,26,2.41%,1,2,0.19%,1,30.00%,1,0.00%,4,20.00%,1,100.00%,1,high,1,1.47,2.73,13.67,high,intolerable,"restricted, discretionary"
1,3,ANGLIT,Moderate,4,≥1m,504,130,3.21,157,0.052,21,57,11.31%,3,0,0.00%,1,7,1.39%,1,16,3.17%,1,1,0.20%,1,5,0.99%,1,1,0.20%,1,30.00%,1,0.00%,4,20.00%,1,100.00%,1,moderate,1,1.30,2.15,8.60,moderate,tolerable,discretionary
1,4,ANGLIT,High,5,≥1m,504,130,3.21,157,3.159,133,445,88.29%,4,0,0.00%,1,68,13.49%,3,237,47.02%,4,4,0.79%,1,65,12.90%,3,0,0.00%,1,30.00%,1,0.00%,4,20.00%,1,100.00%,1,moderate,1,1.88,2.94,14.71,high,intolerable,"restricted, discretionary"
1,5,BACUBAC,Moderate,4,≥1m,1268,124,9.49,134,1.958,66,311,24.53%,4,0,0.00%,1,19,1.50%,1,86,6.78%,2,4,0.32%,1,27,2.13%,1,0,0.00%,1,20.00%,1,0.00%,4,30.00%,1,100.00%,1,high,1,1.38,2.69,10.77,moderate,tolerable,discretionary
1,6,BACUBAC,High,5,≥1m,1268,124,9.49,134,3.155,118,690,54.42%,4,0,0.00%,1,19,1.50%,1,106,8.36%,2,4,0.32%,1,28,2.21%,1,0,0.00%,1,20.00%,1,0.00%,4,30.00%,1,100.00%,1,high,1,1.38,2.69,13.46,high,intolerable,"restricted, discretionary"
1,7,BALUD,Low,3,≥1m,1202,220,8.77,137,6.167,196,1021,84.94%,4,0,0.00%,1,85,7.07%,2,278,23.13%,4,5,0.42%,1,87,7.24%,2,10,0.83%,1,30.00%,1,0.00%,4,60.00%,1,100.00%,1,moderate,1,1.72,2.86,8.58,moderate,tolerable,discretionary
1,8,BALUD,Moderate,4,≥1m,1202,220,8.77,137,2.334,166,937,77.95%,4,0,0.00%,1,83,6.91%,2,296,26.63%,4,8,0.67%,1,100,8.32%,2,25,2.08%,1,30.00%,1,0.00%,4,60.00%,1,100.00%,1,moderate,1,1.72,2.86,11.43,moderate,tolerable,discretionary
1,9,BASIAO,Low,3,≥1m,1428,248,12.179,117.251,7.090,339,1251,87.61%,4,0,0.00%,1,54,3.78%,1,391,27.38%,4,18,1.26%,1,113,7.91%,2,15,1.05%,1,10.00%,3,0.00%,4,60.00%,1,100.00%,1,moderate,1,1.83,2.92,8.75,moderate,tolerable,discretionary
1,10,BASIAO,Moderate,4,≥1m,1428,248,12.179,117.251,0.336,16,82,5.74%,2,0,0.00%,1,3,0.21%,1,32,2.24%,1,3,0.21%,1,5,0.35%,1,4,0.28%,1,10.00%,3,0.00%,4,60.00%,1,100.00%,1,moderate,1,1.50,1.75,7.00,moderate,tolerable,discretionary
1,11,BASIAO,High,5,≥1m,1428,248,12.179,117.251,0.753,16,88,6.16%,2,0,0.00%,1,2,0.14%,1,11,0.77%,1,0,0.00%,1,1,0.07%,1,0,0.00%,1,10.00%,3,0.00%,4,60.00%,1,100.00%,1,moderate,1,1.50,1.75,8.75,moderate,tolerable,discretionary
1,12,BAYBAY,Moderate,4,≥1m,389,92,0.767,507.171,,3,9,2.31%,1,0,0.00%,1,1,0.26%,1,6,1.54%,1,0,0.00%,1,1,0.26%,1,0,0.00%,1,10.00%,3,0.00%,4,90.00%,1,100.00%,1,high,1,1.50,1.25,5.00,moderate,tolerable,discretionary
1,13,BAYBAY,High,5,≥1m,389,92,0.767,507.171,0.423,92,285,73.26%,4,0,0.00%,1,27,6.94%,2,137,35.22%,4,1,0.26%,1,6,1.54%,1,0,0.00%,1,10.00%,3,0.00%,4,90.00%,1,100.00%,1,high,1,1.83,2.92,14.58,high,intolerable,"restricted, discretionary"
1,14,BINONGTU-AN,Low,3,≥1m,492,108,3.571,137.777,2.235,71,257,52.24%,4,0,0.00%,1,34,6.91%,2,113,22.97%,4,6,1.22%,1,34,6.91%,2,1,0.30%,1,40.00%,1,0.00%,4,10.00%,3,100.00%,1,moderate,1,1.92,2.96,8.88,moderate,tolerable,discretionary
1,15,BINONGTU-AN,Moderate,4,≥1m,492,108,3.571,137.777,1.282,60,236,47.97%,4,0,0.00%,1,30,6.10%,2,110,22.36%,4,2,0.41%,1,23,4.67%,1,8,1.63%,1,40.00%,1,0.00%,4,10.00%,3,100.00%,1,moderate,1,1.83,2.92,11.67,moderate,tolerable,discretionary
1,16,BUENAVISTA,Moderate,4,≥1m,590,177,11.519,51.220,4.337,153,458,77.63%,4,0,0.00%,1,83,14.07%,3,201,34.07%,4,1,0.17%,1,71,12.03%,3,0,0.00%,1,60.00%,1,0.00%,4,30.00%,1,100.00%,1,high,1,1.88,2.94,11.77,moderate,tolerable,discretionary
1,17,BURGOS,Low,3,≥1m,907,241,8.203,110.569,1.612,43,136,14.99%,3,0,0.00%,1,24,2.64%,1,72,7.94%,2,0,0.00%,1,15,1.65%,1,1,0.11%,1,20.00%,1,0.00%,4,70.00%,1,100.00%,1,moderate,1,1.38,2.19,6.58,moderate,tolerable,discretionary
1,18,BURGOS,Moderate,4,≥1m,907,241,8.203,110.569,4.452,183,541,59.65%,4,0,0.00%,1,68,7.50%,2,245,27.01%,4,10,1.10%,1,44,4.85%,1,0,0.00%,1,20.00%,1,0.00%,4,70.00%,1,100.00%,1,moderate,1,1.63,2.82,11.27,moderate,tolerable,discretionary
1,19,BURGOS,High,5,≥1m,907,241,8.203,110.569,0.702,23,79,8.71%,2,0,0.00%,1,9,0.99%,1,40,4.41%,1,0,0.00%,1,9,0.99%,1,1,0.11%,1,20.00%,1,0.00%,4,70.00%,1,100.00%,1,moderate,1,1.30,1.65,8.25,moderate,tolerable,discretionary
1,20,BUSCADA,Low,3,≥1m,389,191,7.931,49.048,,16,60,15.42%,3,0,0.00%,1,6,0.69%,1,21,2.42%,1,0,0.00%,1,9,1.04%,1,0,0.00%,1,5.00%,4,0.00%,4,90.00%,1,100.00%,1,high,1,1.60,2.30,6.90,moderate,tolerable,discretionary
1,21,BUSCADA,Moderate,4,≥1m,389,191,7.931,49.048,0.078,72,282,72.49%,4,0,0.00%,1,21,2.42%,1,108,12.46%,3,1,0.12%,1,18,76.00%,4,0,0.00%,1,5.00%,4,0.00%,4,90.00%,1,100.00%,1,high,1,2.02,3.01,12.03,high,intolerable,"restricted, discretionary"
1,22,BUSCADA,High,5,≥1m,389,191,7.931,49.048,0.392,21,109,28.02%,4,0,0.00%,1,7,0.81%,1,40,4.61%,1,0,0.00%,1,7,0.81%,1,0,0.00%,1,5.00%,4,0.00%,4,90.00%,1,100.00%,1,high,1,1.60,2.80,14.00,high,intolerable,"restricted, discretionary"
1,23,CAMBAYAN,Moderate,4,≥1m,501,85,4.668,107.326,0.307,12,57,11.38%,3,0,0.00%,1,4,0.80%,1,20,3.99%,1,1,0.20%,1,4,0.80%,1,0,0.00%,1,20.00%,1,0.00%,4,60.00%,1,100.00%,1,moderate,1,1.30,2.15,8.60,moderate,tolerable,discretionary
1,24,CAMBAYAN,High,5,≥1m,501,85,4.668,107.326,,3,8,1.60%,1,0,0.00%,1,1,0.20%,1,3,0.60%,1,0,0.00%,1,1,0.20%,1,0,0.00%,1,20.00%,1,0.00%,4,60.00%,1,100.00%,1,moderate,1,1.30,1.15,5.75,moderate,tolerable,discretionary
2,1,CAN-ABAY,Moderate,4,≥1m,1511,277,27.821,54.311,9.467,171,852,56.39%,4,0,0.00%,1,59,3.90%,1,267,17.07%,3,6,0.40%,1,71,4.70%,1,0,0.00%,1,30.00%,1,0.00%,4,30.00%,1,100.00%,1,moderate,1,1.47,2.73,10.93,moderate,tolerable,discretionary
2,2,CAN-ABAY,High,5,≥1m,1511,277,27.821,54.311,3.009,64,300,19.85%,3,0,0.00%,1,24,1.59%,1,76,5.03%,2,0,0.00%,1,26,1.72%,1,0,0.00%,1,30.00%,1,0.00%,4,30.00%,1,100.00%,1,moderate,1,1.38,2.19,10.96,moderate,tolerable,discretionary
2,3,CANMANILA,Moderate,4,≥1m,1532,242,13.245,115.666,2.781,95,525,34.27%,4,0,0.00%,1,45,2.94%,1,145,9.46%,2,11,0.72%,1,20,1.40%,1,0,0.00%,1,5.00%,4,0.00%,4,90.00%,1,100.00%,1,low,1,1.68,2.84,11.37,moderate,tolerable,discretionary
2,4,CANMANILA,High,5,≥1m,1532,242,13.245,115.666,5.001,123,725,47.32%,4,0,0.00%,1,45,2.94%,1,198,12.92%,3,15,0.98%,1,36,2.35%,1,3,0.20%,1,5.00%,4,0.00%,4,90.00%,1,100.00%,1,low,1,1.77,2.88,14.42,high,intolerable,"restricted, discretionary"
2,5,CATADMAN,Low,3,≥1m,704,175,7.573,92.962,5.081,135,493,70.03%,4,0,0.00%,1,60,8.52%,2,155,22.02%,4,8,1.14%,1,55,7.81%,2,0,0.00%,1,50.00%,1,0.00%,4,30.00%,1,100.00%,1,low,1,1.72,2.86,8.58,moderate,tolerable,discretionary
2,6,DEL PILAR,Low,3,≥1m,1097,256,7.123,154.008,2.036,51,168,15.31%,3,0,0.00%,1,0,0.00%,1,0,0.00%,1,0,0.00%,1,0,0.00%,1,0,0.00%,1,60.00%,1,0.00%,4,10.00%,3,100.00%,1,moderate,1,1.50,2.25,6.75,moderate,tolerable,discretionary
2,7,DOLONGAN,Moderate,4,≥1m,1182,217,8.210,143.971,4.404,224,990,83.76%,4,0,0.00%,1,101,8.54%,2,324,27.41%,4,4,0.34%,1,51,4.31%,1,3,0.30%,1,80.00%,1,0.00%,4,60.00%,1,100.00%,1,moderate,1,1.63,2.82,11.27,moderate,tolerable,discretionary
2,8,DOLONGAN,High,5,≥1m,1182,217,8.210,143.971,1.192,53,219,18.53%,3,0,0.00%,1,13,1.10%,1,53,4.48%,1,0,0.00%,1,4,0.34%,1,2,0.17%,1,80.00%,1,0.00%,4,60.00%,1,100.00%,1,moderate,1,1.30,2.15,10.75,moderate,tolerable,discretionary
2,9,GUINTIGUI-AN,Moderate,4,≥1m,449,93,2.063,217.644,,2,6,1.34%,1,0,0.00%,1,2,0.45%,1,3,0.67%,1,0,0.00%,1,2,0.45%,1,0,0.00%,1,100.00%,1,0.00%,4,100.00%,1,100.00%,1,high,1,1.30,1.15,4.60,low,manageable,"controlled, permitted"
2,10,GUIRANG,Low,3,≥1m,3075,306,20.000,153.750,6.195,214,1901,61.82%,4,0,0.00%,1,94,3.06%,1,358,11.64%,3,7,0.23%,1,73,2.37%,1,0,0.00%,1,60.00%,1,0.00%,4,60.00%,1,100.00%,1,moderate,1,1.47,2.73,8.20,moderate,tolerable,discretionary
2,11,GUIRANG,Moderate,4,≥1m,3075,306,20.439,150.448,3.149,113,1219,39.64%,4,0,0.00%,1,38,1.24%,1,170,5.53%,2,0,0.00%,1,46,1.50%,1,0,0.00%,1,60.00%,1,0.00%,4,60.00%,1,100.00%,1,moderate,1,1.38,2.69,10.77,moderate,tolerable,discretionary
2,12,GUIRANG,High,5,≥1m,3075,306,20.439,150.448,0.157,13,131,4.26%,1,0,0.00%,1,4,0.13%,1,29,0.94%,1,0,0.00%,1,3,0.10%,1,0,0.00%,1,60.00%,1,0.00%,4,60.00%,1,100.00%,1,moderate,1,1.30,1.15,5.75,moderate,tolerable,discretionary
2,13,IBA,Moderate,4,≥1m,575,142,5.860,98.123,5.722,159,562,97.74%,4,0,0.00%,1,79,13.74%,3,234,40.70%,4,12,2.09%,1,21,3.65%,1,0,0.00%,1,40.00%,1,0.00%,4,40.00%,1,100.00%,1,moderate,1,1.72,2.86,11.43,moderate,tolerable,discretionary
2,14,IBA,High,5,≥1m,575,142,5.860,98.123,0.072,4,13,2.26%,1,0,0.00%,1,3,0.52%,1,4,0.70%,1,0,0.00%,1,0,0.00%,1,0,0.00%,1,40.00%,1,0.00%,4,40.00%,1,100.00%,1,moderate,1,1.30,1.15,5.75,moderate,tolerable,discretionary
2,15,INUNTAN,Moderate,4,≥1m,712,165,6.450,110.388,1.586,75,275,38.62%,4,0,0.00%,1,34,4.78%,1,136,19.10%,3,6,0.84%,1,31,4.35%,1,1,0.14%,1,30.00%,1,0.00%,4,30.00%,1,100.00%,1,high,1,1.47,2.73,10.93,moderate,tolerable,discretionary
2,16,LAWAAN,Moderate,4,≥1m,599,147,2.680,223.507,0.223,64,225,37.56%,4,0,0.00%,1,21,3.51%,1,86,14.36%,3,0,0.00%,1,14,2.34%,1,0,0.00%,1,0.00%,4,0.00%,4,100.00%,1,100.00%,1,high,1,1.77,2.88,11.53,moderate,tolerable,discretionary
2,17,LAWAAN,High,5,≥1m,599,147,2.680,223.507,2.545,129,374,62.44%,4,0,0.00%,1,13,2.17%,1,148,24.71%,4,0,0.00%,1,16,2.67%,1,0,0.00%,1,0.00%,4,0.00%,4,100.00%,1,100.00%,1,high,1,1.85,2.93,14.63,high,intolerable,"restricted, discretionary"
2,18,LOOG,Low,3,≥1m,1556,223,11.453,135.860,4.288,188,1026,65.94%,4,0,0.00%,1,118,7.58%,2,357,22.94%,4,7,0.45%,1,129,8.29%,2,0,0.00%,1,30.00%,1,0.00%,4,20.00%,1,100.00%,1,high,1,1.72,2.86,8.58,moderate,tolerable,discretionary
2,19,LOOG,High,5,≥1m,1556,223,11.453,135.860,5.075,148,829,53.28%,4,0,0.00%,1,73,4.69%,1,257,16.52%,3,6,0.39%,1,88,5.66%,2,14,0.90%,1,30.00%,1,0.00%,4,20.00%,1,100.00%,1,high,1,1.55,2.78,13.88,high,intolerable,"restricted, discretionary"
2,20,LOYO,Moderate,4,≥1m,1070,235,3.594,297.718,,3,10,0.93%,1,0,0.00%,1,2,0.19%,1,2,0.19%,1,0,0.00%,1,1,0.09%,1,0,0.00%,1,80.00%,1,0.00%,4,90.00%,1,100.00%,1,high,1,1.30,1.15,4.60,low,manageable,"controlled, permitted"
2,21,LOYO,High,5,≥1m,1070,235,3.594,297.718,1.267,102,407,38.04%,4,0,0.00%,1,50,4.95%,1,154,14.39%,3,5,0.47%,1,25,2.34%,1,0,0.00%,1,80.00%,1,0.00%,4,90.00%,1,100.00%,1,high,1,1.47,2.73,13.67,high,intolerable,"restricted, discretionary"
2,22,MABINI,Very High,6,≥1m,2831,729,14.826,190.948,5.971,324,1193,42.14%,4,0,0.00%,1,111,3.88%,1,375,13.11%,3,17,0.59%,1,90,3.15%,1,0,0.00%,1,60.00%,1,0.00%,4,50.00%,1,100.00%,1,high,1,1.47,2.73,16.40,high,intolerable,"restricted, discretionary"
2,23,MAGALLANES,Low,3,≥1m,621,162,5.312,116.905,,3,6,0.97%,1,0,0.00%,1,37,3.37%,1,82,7.47%,2,5,0.46%,1,30,2.73%,1,0,0.00%,1,10.00%,3,0.00%,4,70.00%,1,100.00%,1,moderate,1,1.58,1.29,3.88,low,manageable,"controlled, permitted"
2,24,MAGALLANES,Moderate,4,≥1m,621,162,5.312,116.905,1.020,35,125,20.13%,4,0,0.00%,1,25,4.03%,1,56,9.02%,2,4,0.64%,1,10,1.61%,1,1,0.16%,1,10.00%,3,0.00%,4,70.00%,1,100.00%,1,moderate,1,1.58,2.79,11.17,moderate,tolerable,discretionary
2,25,MAGALLANES,High,5,≥1m,621,162,5.312,116.905,4.027,146,483,77.78%,4,0,0.00%,1,75,12.08%,3,238,38.33%,4,12,1.93%,1,45,7.25%,2,0,0.00%,1,10.00%,3,0.00%,4,70.00%,1,100.00%,1,moderate,1,2.00,3.00,15.00,high,intolerable,"restricted, discretionary"
2,26,MAY-IT,Moderate,4,≥1m,607,145,3.832,158.403,0.588,25,90,14.83%,3,0,0.00%,1,12,1.98%,1,36,5.93%,2,1,0.16%,1,12,1.98%,1,0,0.00%,1,60.00%,1,0.00%,4,50.00%,1,100.00%,1,moderate,1,1.38,2.19,8.77,moderate,tolerable,discretionary
