Source Image,Source Row,Barangay,Hazard,Susceptibility,Likelihood Score,Flood Depth,Barangay Population,Households,Residential Area (ha),Population Density,Affected Residential Area (ha),Affected Households,Affected Population,Reported Exposure %,Calculated Exposure %,Exposure % Difference,Reported Exposure Score,Calculated Exposure Score,Informal Settlers Count,Informal Settlers %,Informal Settlers Score,Light-material Households Count,Light-material Households %,Light-material Score,Young/Old Dependents Count,Young/Old Dependents %,Young/Old Score,Persons with Disabilities Count,Persons with Disabilities %,PWD Score,Below-poverty Households Count,Below-poverty %,Below-poverty Score,Malnourished Individuals Count,Malnourished %,Malnourished Score,Infrastructure Access %,Infrastructure Access Score,Financial Assistance %,Financial Assistance Score,Retrofit/Relocate Capacity %,Retrofit/Relocate Score,Information Access %,Information Access Score,Government Intervention Capacity,Government Intervention Score,Vulnerability Score,Reported Consequence Score,Calculated Consequence Score,Consequence Difference,Reported Risk Score,Calculated Risk Score,Risk Difference,Calculated Risk Category,Calculated Risk Level,Calculated Land-use Control,OCR Confidence Avg,QA Flags,Source Table
1.svg,1,Amandayehan,Liquefaction,Low,3,,1081,196,8.863,122,4.755,188,572,0.5291,0.5291396854764108,3.9685476410755705e-05,4,4,0,0,1,42,0.038900000000000004,1,266,0.24609999999999999,4,10,0.009300000000000001,1,34,0.0315,1,3,0.0028000000000000004,1,0.3,1,0,4,0.14,,1,1,Low,4,1.95,2.98,2.975,0.004999999999999893,8.93,8.925,0.004999999999999005,Moderate,Tolerable,Discretionary,89,,Table 14
1.svg,2,Amandayehan,Liquefaction,High,5,,504,130,8.863,57,4.755,36,330,0.6548,0.6547619047619048,3.809523809528148e-05,4,4,0,0,1,43,0.08529999999999999,2,157,0.3115,4,3,0.006,1,40,0.0794,2,0,0,1,0.3,1,0,4,0.2,1,1,1,Moderate,3,1.92,2.96,2.96,0,14.73,14.8,0.07000000000000028,High,Intolerable,Restricted,89.6,,Table 14
1.svg,3,Bacubac,Liquefaction,High,5,,1268,124,8.863,143,4.992,168,543,0.4282,0.4282334384858044,3.343848580439346e-05,4,4,0,0,1,25,0.0197,1,243,0.19640000000000002,3,11,0.0087,1,53,0.0418,1,0,0,1,0.2,1,0,4,0.3,1,1,1,High,2,157,2.78,80.5,77.72,13.92,402.5,388.58,High,Intolerable,Restricted,90.4,Reported consequence score differs from calculated by >0.20; Reported risk score differs from calculated by >0.75,Table 14
1.svg,4,Balante,Liquefaction,Low,3,,648,175,3.344,194,3.344,163,657,1.0139,1.0138888888888888,1.1111111111183902e-05,4,4,0,0,1,116,0.179,3,231,0.4336,4,5,0.0231,1,35,0.1466,3,0,0,1,0.3,1,0,4,0.2,1,1,1,Moderate,3,2.08,3.04,3.04,0,3.13,9.120000000000001,5.990000000000001,Moderate,Tolerable,Discretionary,91.3,Reported risk score differs from calculated by >0.75,Table 14
1.svg,5,Balud,Liquefaction,High,5,,1202,220,5.77,208,5.77,260,895,0.7445999999999999,0.7445923460898503,7.653910149674203e-06,4,4,0,0,1,7,0.0058,1,434,0.3611,4,3,0.0075,1,123,0.1023,3,23,0.0241,1,0.3,1,0,4,0.6,1,1,1,Moderate,3,1.92,2.96,2.96,0,14.73,14.8,0.07000000000000028,High,Intolerable,Restricted,90.5,,Table 14
1.svg,6,Basiao,Liquefaction,High,5,,1428,246,3.463,412,3.463,175,1005,0.7038,0.7037815126050421,1.8487394957911185e-05,4,4,0,0,1,23,0.0203,1,270,0.18309999999999998,3,10,0.006999999999999999,1,52,0.0364,1,,0.005600000000000001,1,0.1,3,0,4,0.6,1,1,1,Moderate,3,1.87,2.93,2.935,0.004999999999999893,14.67,14.675,0.005000000000000782,High,Intolerable,Restricted,87.4,,Table 14
1.svg,7,Buenavista,Liquefaction,High,5,,590,17,5.663,104,5.663,193,716,1.2136,1.2135593220338983,4.0677966101743124e-05,4,4,0,0,1,106,0.17370000000000002,3,271,0.4593,4,1,0.0017000000000000001,1,73,0.13390000000000002,3,0,0,1,0.4,1,0,4,0.1,3,1,1,Moderate,3,2.28,3.14,3.1399999999999997,4.440892098500626e-16,15.71,15.7,0.010000000000001563,High,Intolerable,Restricted,88.9,,Table 14
1.svg,8,Bulao,Liquefaction,Low,3,,1373,248,8.773,157,3.718,194,762,0.5526,0.5549890750182083,0.0023890750182082865,4,4,0,0,1,148,0.1073,3,331,0.24,4,13,0.009399999999999999,1,142,0.10300000000000001,3,2,0.0015,1,0.7,1,0,4,0.2,1,1,1,Moderate,3,2.08,3.04,3.04,0,3.13,9.120000000000001,5.990000000000001,Moderate,Tolerable,Discretionary,91,Reported risk score differs from calculated by >0.75,Table 14
1.svg,9,Bulao,Liquefaction,Moderate,4,,1373,248,8.773,157,5.77,17,610,0.44229999999999997,0.4442825928623452,0.001982592862345256,4,4,0,0,1,121,0.0877,2,292,0.21170000000000003,4,8,0.0058,1,104,0.0754,2,3,0.0022,1,0.7,1,0,4,0.2,1,1,1,Moderate,3,1.92,2.96,2.96,0,11.83,11.84,0.009999999999999787,Moderate,Tolerable,Discretionary,86.2,,Table 14
1.svg,10,Burgos,Liquefaction,Low,3,,307,241,7.331,124,0.66,16,57,0.06280000000000001,0.18566775244299674,0.12286775244299673,2,3,0,0,1,12,0.0132,1,30,0.0331,1,0,0,1,7,0.0077,1,1,0.0011,1,0.2,1,0,4,0.7,1,1,1,Moderate,3,1.5,1.75,2.25,0.5,5.25,6.75,1.5,Moderate,Tolerable,Discretionary,90.6,Exposure % differs from affected population / population by >2 percentage points,Table 14
1.svg,11,Burgos,Liquefaction,Moderate,4,,307,241,7.331,124,0.66,268,795,0.8765000000000001,2.58957654723127,1.7130765472312701,4,4,0,0,1,111,0.12240000000000001,3,381,0.4201,4,20,0.022099999999999998,1,60,0.0662,2,2,0.0022,1,0.2,1,0,4,0.7,1,1,1,Moderate,3,2,3,3,0,12,12,0,High,Intolerable,Restricted,92.1,Exposure % differs from affected population / population by >2 percentage points,Table 14
1.svg,12,Burgos,Liquefaction,High,5,,307,241,0.66,1374,0.66,8,14,0.0154,0.04560260586319218,0.03020260586319218,1,1,0,0,1,3,0.0033,1,3,0.0033,1,0,0,1,1,0.0011,1,0,0,1,0.2,1,0,4,0.7,1,1,1,Moderate,3,1.5,1.25,1.25,0,6.25,6.25,0,Moderate,Tolerable,Discretionary,89.2,Exposure % differs from affected population / population by >2 percentage points,Table 14
1.svg,13,Buscada,Liquefaction,High,5,,383,191,3.786,103,3.786,64,231,0.7223999999999999,0.6031331592689295,0.11926684073107041,4,4,0,0,1,23,0.0265,1,114,0.1315,3,3,0.0034999999999999996,1,27,0.0311,1,0,0,1,0.05,4,0,4,0.3,1,1,1,High,2,1.87,2.93,2.935,0.004999999999999893,14.67,14.675,0.005000000000000782,High,Intolerable,Restricted,91.1,Exposure % differs from affected population / population by >2 percentage points,Table 14
1.svg,14,Can-abay,Liquefaction,Low,3,,1511,277,21.129,72,21.129,323,1112,0.7359,0.7359364659166115,3.6465916611549964e-05,4,4,0,0,1,7,0.07743,4,474,0.31363,4,7,0.0046300000000000004,4,156,0.10324,4,0,0,1,0.3,1,0,4,0.3,41,1,1,Moderate,3,2.5,3.25,3.25,0,9.75,9.75,0,Moderate,Tolerable,Discretionary,89.7,,Table 14
1.svg,15,Can-abay,Liquefaction,Moderate,4,,511,277,0.402,3753,0.402,1,4,0.0026,0.007827788649706457,0.005227788649706458,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0.3,1,0,4,0.3,41,1,1,Moderate,3,1.5,1.25,1.25,0,5,5,0,Moderate,Tolerable,Discretionary,88.3,,Table 14
1.svg,16,Canmanila,Liquefaction,High,5,,1532,242,8.858,173,8.858,232,2042,1.3329,1.3328981723237598,1.8276762401292501e-06,4,4,0,0,1,87,0.056799999999999996,4,425,0.2774,4,31,0.0202,4,64,0.0418,4,4,0.0026,4,0.05,4,0,4,0.3,1,1,1,Low,4,3.15,3.58,3.575,0.004999999999999893,17.88,17.875,0.004999999999999005,High,Intolerable,Restricted,87.6,,Table 14
1.svg,17,Canca-iyas,Liquefaction,Low,3,,380,127,4.222,30,4.222,150,374,0.9842,0.9842105263157894,1.0526315789460838e-05,4,4,0,0,1,70,0.18420999999999998,4,143,0.3321,4,0,0,1,67,0.17631,4,0,0,1,0.7,1,0,4,0.1,3,1,1,Moderate,3,2.45,3.23,3.225,0.004999999999999893,9.68,9.675,0.004999999999999005,Moderate,Tolerable,Discretionary,90.8,,Table 14
1.svg,18,Catadman,Liquefaction,Moderate,4,,704,175,0.177,3377,1.431,1,1,0.0014000000000000002,0.0014204545454545455,2.045454545454529e-05,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0.5,1,0,4,0.3,41,1,1,Low,4,1.6,1.3,1.3,0,5.2,5.2,0,Moderate,Tolerable,Discretionary,87.4,,Table 14
1.svg,19,Catadman,Liquefaction,High,5,,704,175,1.431,492,1.431,32,137,0.1946,0.19460227272727273,2.2727272727396386e-06,,3,0,0,1,25,0.0355,4,64,0.030299999999999997,4,5,0.0070999999999999995,4,18,0.0256,4,0,0,1,0.5,1,0,4,0.3,41,1,1,Low,4,2.6,2.8,2.8,0,14,14,0,High,Intolerable,Restricted,88.4,,Table 14
1.svg,20,Cogon,Liquefaction,Low,3,,1256,174,3.473,361,3.473,177,663,0.5326,0.5278662420382165,0.004733757961783436,4,4,0,0,1,123,0.09792,4,310,0.24681,4,3,0.00716,4,84,0.06687,4,56,0.04458,4,0.06,3,0,4,0.4,1,1,1,Moderate,3,2.95,3.48,3.475,0.004999999999999893,10.43,10.425,0.004999999999999005,Moderate,Tolerable,Discretionary,89.8,,Table 14
1.svg,21,Cogon,Liquefaction,Moderate,4,,1256,174,1.603,784,3.473,187,584,0.465,0.46496815286624205,3.184713375797843e-05,4,4,0,0,1,35,0.06287,4,237,0.15683999999999998,4,4,0.00264,4,37,0.02448,4,28,0.01857,4,0.6,1,0,4,0.4,1,1,1,Moderate,3,2.75,3.38,3.375,0.004999999999999893,13.5,13.5,0,High,Intolerable,Restricted,90.1,,Table 14
1.svg,22,Del Pilar,Liquefaction,Moderate,4,,1037,256,7.005,157,0.122,307,1092,0.9954000000000001,1.0530376084860174,0.05763760848601729,4,4,0,0,1,168,0.15314,4,528,0.48131,4,19,0.017310000000000002,4,133,0.12122999999999999,4,1,0.00031,2,0.6,1,0,4,0.1,3,1,1,Moderate,3,2.78,3.33,3.3899999999999997,0.05999999999999961,13.57,13.559999999999999,0.010000000000001563,High,Intolerable,Restricted,89.7,Exposure % differs from affected population / population by >2 percentage points,Table 14
2.svg,1,Del Pilar,Liquefaction,High,5,,1037,256,0.122,8992,0.122,3,3,0.0027,0.0028929604628736743,0.00019296046287367412,,1,4007,0,,4,0.00182,,2,0.00182,,38,0,4,2,0.00182,,0,0,40,0.6,40,0,4,0.1,3,1,4,Moderate,3,2.2,1.6,1.6,0,8,8,0,Moderate,Tolerable,Discretionary,73.4,Low average OCR confidence,Table 14
