Source Image,Source Row,Barangay,Hazard,Susceptibility,Likelihood Score,Flood Depth,Barangay Population,Households,Residential Area (ha),Population Density,Affected Residential Area (ha),Affected Households,Affected Population,Reported Exposure %,Calculated Exposure %,Exposure % Difference,Reported Exposure Score,Calculated Exposure Score,Informal Settlers Count,Informal Settlers %,Informal Settlers Score,Light-material Households Count,Light-material Households %,Light-material Score,Young/Old Dependents Count,Young/Old Dependents %,Young/Old Score,Persons with Disabilities Count,Persons with Disabilities %,PWD Score,Below-poverty Households Count,Below-poverty %,Below-poverty Score,Malnourished Individuals Count,Malnourished %,Malnourished Score,Infrastructure Access %,Infrastructure Access Score,Financial Assistance %,Financial Assistance Score,Retrofit/Relocate Capacity %,Retrofit/Relocate Score,Information Access %,Information Access Score,Government Intervention Capacity,Government Intervention Score,Vulnerability Score,Reported Consequence Score,Calculated Consequence Score,Consequence Difference,Reported Risk Score,Calculated Risk Score,Risk Difference,Calculated Risk Category,Calculated Risk Level,Calculated Land-use Control,OCR Confidence Avg,QA Flags,Source Table
Picture13.svg,1,Amandayehan,Ground Shaking,Moderate,3,,1081,196,8.863,122,8.334,314,8081,7.4755,7.475485661,1.43E-05,4,4,0,0,1,,0.0031,2,471,0.4357,4,23,0.0213,1,61,0.0564,2,2,0.0111,1,0.3,1,0,4,0.14,2,1,1,Low,4,2.12,3.06,3.06,0,3.18,9.18,6,Moderate,Tolerable,Discretionary,86.5,Reported risk score differs from calculated by >0.75,Table 12
Picture13.svg,2,Anglit,Ground Shaking,Moderate,3,,504,130,3.21,157,3.21,155,503,0.338,0.998015873,0.660015873,4,4,0,0,1,,0.1528,3,255,0.506,4,5,0.0033,1,64,0.127,3,1,0.002,1,0.3,1,0,4,0.2,1,1,1,Moderate,3,2.08,3.04,3.04,0,3.13,9.12,5.99,Moderate,Tolerable,Discretionary,92,Exposure % differs from affected population / population by >2 percentage points; Reported risk score differs from calculated by >0.75,Table 12
Picture13.svg,3,Bacubac,Ground Shaking,Moderate,3,,1266,124,3.434,134,3.434,343,1203,0.3535,0.950236967,0.596736967,4,4,0,0,1,101,0.003,2,533,0.4409,4,24,0.0183,1,124,0.038,2,0,0,1,0.2,1,0,4,0.3,1,1,1,High,2,1.82,2.31,2.91,0.6,8.73,8.73,0,Moderate,Tolerable,Discretionary,88.7,Exposure % differs from affected population / population by >2 percentage points; Reported consequence score differs from calculated by >0.20,Table 12
Picture13.svg,4,Balante,Ground Shaking,Moderate,3,,646,175,3.305,196,3.305,163,646,1,1,0,4,4,0,0,1,116,0.173,3,283,0.4367,4,15,0.0231,1,38,0.1512,3,0,0,1,0.3,1,0,4,0.2,1,1,1,Moderate,3,2.08,3.04,3.04,0,3.13,9.12,5.99,Moderate,Tolerable,Discretionary,91.9,Reported risk score differs from calculated by >0.75,Table 12
Picture13.svg,5,Baloog,Ground Shaking,Moderate,3,,22,33,0.33,131,0.318,36,22,1,1,0,4,4,0,0,1,30,0.2459,4,50,0.4038,4,0,0,1,20,0.1633,3,0,0,1,0.3,1,0,4,0.6,1,1,1,Moderate,3,2.17,3.08,3.085,0.005,3.25,9.255,6.005,Moderate,Tolerable,Discretionary,92.7,Reported risk score differs from calculated by >0.75,Table 12
Picture13.svg,6,Balud,Ground Shaking,Moderate,3,,1202,220,8.773,137,8.773,363,1202,1,1,0,4,4,0,0,1,163,0.1406,3,572,0.4759,4,2,0.01,1,188,0.1564,3,36,0.03,1,0.3,1,0,4,0.6,1,1,1,Moderate,3,2.08,3.04,3.04,0,3.13,9.12,5.99,Moderate,Tolerable,Discretionary,91.5,Reported risk score differs from calculated by >0.75,Table 12
Picture13.svg,7,Basiao,Ground Shaking,Moderate,3,,1428,246,12.173,117,3.548,353,1376,0.3636,0.963585434,0.599985434,4,4,0,0,1,32,0.0644,2,522,0.3655,4,24,0.0168,1,154,0.1073,3,37,0.0259,1,0.1,3,0,4,0.06,3,1,1,Moderate,3,2.4,3.2,3.2,0,3.6,9.6,6,Moderate,Tolerable,Discretionary,92.3,Exposure % differs from affected population / population by >2 percentage points; Reported risk score differs from calculated by >0.75,Table 12
Picture13.svg,8,Baybay,Ground Shaking,Moderate,3,,383,32,0.767,507,0.767,22,388,0.3374,1.01305483,0.67565483,4,4,0,0,1,36,0.0325,2,145,0.3728,4,4,0.0103,1,11,0.0283,1,0,0,1,0.3,1,0,4,0.3,1,1,1,High,2,1.73,2.87,2.865,0.005,8.6,8.595,0.005,Moderate,Tolerable,Discretionary,92.3,Exposure % differs from affected population / population by >2 percentage points,Table 12
Picture13.svg,9,Binongtu-an,Ground Shaking,Moderate,3,,432,108,3.571,138,3.571,131,432,1,1,0,4,4,0,0,1,64,0.1301,3,223,0.4533,4,0,0.0163,1,58,0.1179,3,0,0.0163,1,0.4,1,0,4,0.1,3,1,1,Moderate,3,2.28,3.14,3.14,4.44E-16,3.43,9.42,5.99,Moderate,Tolerable,Discretionary,89.2,Reported risk score differs from calculated by >0.75,Table 12
Picture13.svg,10,Buenavista,Ground Shaking,Moderate,3,,530,,11.513,31,11.513,193,530,1,1,0,4,4,0,0,1,106,0.1737,3,246,0.4203,4,1,0.0017,1,87,0.1475,3,0,0,1,0.4,1,0,4,0.1,3,1,1,Moderate,3,2.28,3.14,3.14,4.44E-16,3.43,9.42,5.99,Moderate,Tolerable,Discretionary,89.8,Reported risk score differs from calculated by >0.75,Table 12
