No.,Evacuation Center / Facility,Point,Latitude,Longitude,Status
1,Basey I Central Elem. School,EC1,"11°16'55.18"" N","125°04'06.85"" E",Existing
1,Basey I Central Elem. School,EC2,"11°16'55.64"" N","125°04'05.93"" E",Existing
1,Basey I Central Elem. School,EC3,"11°16'55.63"" N","125°04'04.66"" E",Existing
1,Basey I Central Elem. School,EC4,"11°16'54.65"" N","125°04'04.33"" E",Existing
1,Basey I Central Elem. School,EC5,"11°16'53.61"" N","125°04'05.76"" E",Existing
1,Basey I Central Elem. School,EC6,"11°16'53.45"" N","125°04'05.38"" E",Existing
1,Basey I Central Elem. School,EC7,"11°16'53.18"" N","125°04'04.73"" E",Existing
1,Basey I Central Elem. School,EC8,"11°16'52.80"" N","125°04'03.91"" E",Existing
1,Basey I Central Elem. School,EC9,"11°16'52.33"" N","125°04'04.40"" E",Existing
2,"St. Michael Parish Church, Brgy. Mercado, BS.",,"11°16'51.57"" N","125°04'12.12"" E",Existing
3,"Evacuation Facility, Brgy. Mercado, BS.",,"11°16'50.96"" N","125°04'04.40"" E",Existing
4,"Mun. Gymnasium, Brgy. Mercado",,"11°16'48.96"" N","125°04'10.09"" E",Existing
5,"Mun. Town Hall, Brgy. Mercado, BS.",,"11°16'48.66"" N","125°04'08.66"" E",Existing
6,"BDH, Brgy. Canmanila, BS.",,"11°16'45.54"" N","125°03'54.55"" E",Existing
7,"Community Evacuation Center, So. Bangon, Brgy. Canmanila, B.S.",,"11°16'52.88"" N","125°04'04.40"" E",Existing
8,"Basey Manpower Training Center, Brgy. Mercado, BS.",,"11°16'49.37"" N","125°04'10.98"" E",Existing
9,"ABC Hall, Brgy. Mercado, B.S.",,"11°16'51.10"" N","125°04'10.25"" E",Existing
